name,cluster,submissions_count,likes_count,companies_count
bulb-switcher-ii,4,44900,154,1
number-of-longest-increasing-subsequence,3,467600,6700,1
longest-continuous-increasing-subsequence,4,519100,2300,1
cut-off-trees-for-golf-event,4,197400,1200,1
implement-magic-dictionary,4,143000,1400,1
map-sum-pairs,4,201800,1600,1
valid-parenthesis-string,3,948400,6000,2
24-game,4,157300,1500,1
valid-palindrome-ii,3,1800000,8100,5
next-closest-time,4,230500,720,1
baseball-game,4,446400,2800,1
k-empty-slots,4,164200,794,1
redundant-connection,3,554700,6100,2
redundant-connection-ii,4,201100,2300,1
repeated-string-match,4,469500,2500,1
longest-univalue-path,4,437400,4200,1
knight-probability-in-chessboard,4,273400,3800,1
maximum-sum-of-3-non-overlapping-subarrays,4,151100,2000,1
employee-importance,4,312700,2100,1
stickers-to-spell-word,4,134000,1200,1
top-k-frequent-words,3,1000000,7600,3
binary-number-with-alternating-bits,4,211100,1300,1
number-of-distinct-islands,4,267400,2200,2
max-area-of-island,2,1200000,9800,8
count-binary-substrings,3,314000,3900,3
degree-of-an-array,3,373100,3000,4
partition-to-k-equal-sum-subsets,3,686900,7000,2
falling-squares,4,58300,623,2
search-in-a-binary-search-tree,3,1100000,5800,3
insert-into-a-binary-search-tree,3,694600,5700,1
search-in-a-sorted-array-of-unknown-size,4,133800,905,2
kth-largest-element-in-a-stream,3,929200,5400,1
binary-search,2,4099999,11600,4
design-hashset,3,605100,3700,5
design-hashmap,3,871300,5100,4
design-linked-list,3,1100000,2600,2
insert-into-a-sorted-circular-linked-list,4,458700,1200,1
to-lower-case,4,609700,1800,0
random-pick-with-blacklist,4,123800,848,3
number-of-distinct-islands-ii,4,20600,258,2
minimum-ascii-delete-sum-for-two-strings,4,218100,3900,2
subarray-product-less-than-k,3,773700,6700,8
best-time-to-buy-and-sell-stock-with-transaction-fee,3,515900,7000,3
range-module,4,157000,1400,2
max-stack,3,332100,1900,4
1-bit-and-2-bit-characters,4,291800,855,1
maximum-length-of-repeated-subarray,3,581000,6700,3
find-k-th-smallest-pair-distance,4,233700,2900,2
longest-word-in-dictionary,4,286100,1900,3
accounts-merge,3,660900,6600,4
remove-comments,4,183000,701,1
candy-crush,4,93300,1000,2
find-pivot-index,3,1800000,8200,4
split-linked-list-in-parts,3,306600,3900,2
number-of-atoms,4,111200,1300,1
minimum-window-subsequence,4,208200,1400,1
self-dividing-numbers,4,304600,1800,1
my-calendar-i,3,491300,4200,4
count-different-palindromic-subsequences,3,80000,1900,4
my-calendar-ii,4,178300,1700,2
my-calendar-iii,4,124900,1900,2
flood-fill,3,1400000,8200,3
sentence-similarity,4,148800,41,1
asteroid-collision,3,1100000,7700,8
parse-lisp-expression,4,42300,469,1
sentence-similarity-ii,4,140700,834,1
monotone-increasing-digits,4,108300,1300,1
daily-temperatures,2,1400000,12900,12
delete-and-earn,3,588900,7400,3
cherry-pickup,3,213900,4200,5
closest-leaf-in-a-binary-tree,4,98500,857,2
network-delay-time,3,889000,7300,2
find-smallest-letter-greater-than-target,3,904500,4400,1
prefix-and-suffix-search,4,232400,2300,1
min-cost-climbing-stairs,3,1700000,11200,4
largest-number-at-least-twice-of-others,4,494200,1200,1
shortest-completing-word,4,123300,530,1
contain-virus,4,24100,387,3
number-of-corner-rectangles,4,56500,616,1
ip-to-cidr,4,42400,84,1
open-the-lock,4,405500,3900,1
cracking-the-safe,4,102000,537,1
reach-a-number,4,123800,1800,3
pour-water,4,80100,296,1
pyramid-transition-matrix,4,62400,523,2
set-intersection-size-at-least-two,4,51000,701,2
bold-words-in-string,4,36600,267,1
employee-free-time,4,202900,1900,2
find-anagram-mappings,4,120200,608,1
special-binary-string,4,27900,695,2
prime-number-of-set-bits-in-binary-representation,4,138200,702,1
partition-labels,3,660200,10200,3
largest-plus-sign,4,119900,1400,1
couples-holding-hands,4,105700,2300,2
toeplitz-matrix,3,469500,3500,2
reorganize-string,2,700600,8400,12
max-chunks-to-make-sorted-ii,4,116400,1800,1
max-chunks-to-make-sorted,4,177700,2800,2
basic-calculator-iv,4,18600,160,2
jewels-and-stones,3,1200000,5000,2
basic-calculator-iii,3,246000,1100,5
sliding-puzzle,4,144400,2000,1
minimize-max-distance-to-gas-station,4,57700,671,1
global-and-local-inversions,4,173400,1800,1
split-bst,4,126700,1000,1
swap-adjacent-in-lr-string,4,205100,1200,2
swim-in-rising-water,4,255900,3600,2
k-th-symbol-in-grammar,3,427100,3700,2
reaching-points,4,197500,1500,2
rabbits-in-forest,4,104700,1300,1
transform-to-chessboard,4,34200,350,1
minimum-distance-between-bst-nodes,4,414000,3400,2
letter-case-permutation,4,400900,4600,1
is-graph-bipartite?,3,976500,8100,3
k-th-smallest-prime-fraction,4,78600,1300,1
cheapest-flights-within-k-stops,2,1400000,9700,8
rotated-digits,4,186600,739,1
escape-the-ghosts,4,47100,284,1
domino-and-tromino-tiling,4,251700,3300,1
custom-sort-string,3,590000,3600,5
number-of-matching-subsequences,3,444600,5400,1
preimage-size-of-factorial-zeroes-function,4,41000,422,1
valid-tic-tac-toe-state,4,165800,542,2
number-of-subarrays-with-bounded-maximum,4,129100,2300,1
rotate-string,3,515100,3500,4
all-paths-from-source-to-target,3,619500,7100,3
smallest-rotation-with-highest-score,4,26500,529,1
champagne-tower,4,262900,3600,1
similar-rgb-color,4,25500,107,1
minimum-swaps-to-make-sequences-increasing,4,189500,2800,2
find-eventual-safe-states,3,378800,5600,1
bricks-falling-when-hit,4,86400,1100,1
unique-morse-code-words,3,420000,2500,4
split-array-with-same-average,4,137600,1200,1
number-of-lines-to-write-string,4,113900,588,0
max-increase-to-keep-city-skyline,4,188100,2500,2
soup-servings,3,121300,961,5
expressive-words,4,250100,850,2
chalkboard-xor-game,4,17700,218,1
subdomain-visit-count,3,298100,1500,8
largest-triangle-area,4,82600,522,1
largest-sum-of-averages,4,98400,2100,1
binary-tree-pruning,3,333500,4500,4
bus-routes,3,414200,4200,3
ambiguous-coordinates,4,52200,312,1
linked-list-components,4,160700,1100,2
race-car,4,197700,1900,1
most-common-word,4,794400,1700,1
short-encoding-of-words,4,158600,1700,0
shortest-distance-to-a-character,4,252900,3100,1
card-flipping-game,4,39300,167,0
binary-trees-with-factors,4,281300,3300,2
goat-latin,4,255000,894,1
friends-of-appropriate-ages,4,179800,735,1
most-profit-assigning-work,4,151400,1600,1
making-a-large-island,3,356500,3800,3
count-unique-characters-of-all-substrings-of-a-given-string,4,135500,2100,1
consecutive-numbers-sum,4,204400,1400,1
positions-of-large-groups,4,179500,863,1
masking-personal-information,4,39200,163,1
flipping-an-image,3,514900,3400,2
find-and-replace-in-string,4,276400,1200,1
sum-of-distances-in-tree,4,154900,5000,1
image-overlap,4,145800,1300,4
rectangle-overlap,4,318800,2000,1
new-21-game,4,167600,2000,1
push-dominoes,3,215000,3400,3
similar-string-groups,3,215800,2300,4
magic-squares-in-grid,4,98600,325,1
keys-and-rooms,3,579700,6000,3
split-array-into-fibonacci-sequence,4,100000,1100,1
guess-the-word,4,359600,1500,1
backspace-string-compare,3,1600000,7500,5
longest-mountain-in-array,4,312400,2700,1
hand-of-straights,4,290200,2500,1
shortest-path-visiting-all-nodes,4,185300,4300,1
shifting-letters,4,213500,1300,3
maximize-distance-to-closest-person,4,462900,3200,2
rectangle-area-ii,4,64099,947,0
loud-and-rich,4,74800,1200,1
peak-index-in-a-mountain-array,3,1200000,7300,2
car-fleet,3,473300,3400,3
k-similar-strings,4,113900,1100,2
exam-room,4,138100,1300,1
score-of-parentheses,3,284600,5400,1
minimum-cost-to-hire-k-workers,4,122700,2200,3
mirror-reflection,4,127000,1100,2
buddy-strings,3,724800,3100,2
lemonade-change,4,329700,2300,0
score-after-flipping-matrix,4,64700,1600,1
shortest-subarray-with-sum-at-least-k,4,375200,4200,1
all-nodes-distance-k-in-binary-tree,3,662800,10800,4
shortest-path-to-get-all-keys,4,138500,2300,1
smallest-subtree-with-all-the-deepest-nodes,4,192200,2600,2
prime-palindrome,4,123900,426,0
transpose-matrix,3,543100,3700,2
binary-gap,4,126800,627,2
reordered-power-of-2,4,179000,2100,1
advantage-shuffle,4,126300,1600,0
minimum-number-of-refueling-stops,3,335300,4600,2
leaf-similar-trees,4,648900,4100,1
length-of-longest-fibonacci-subsequence,4,130100,2000,1
walking-robot-simulation,4,101200,200,1
koko-eating-bananas,2,1200000,10200,8
middle-of-the-linked-list,2,2400000,11400,6
stone-game,4,325000,3200,1
nth-magical-number,4,106200,1300,1
profitable-schemes,4,128400,1800,1
decoded-string-at-index,4,264800,2500,1
boats-to-save-people,3,506400,5800,1
reachable-nodes-in-subdivided-graph,4,53800,788,0
projection-area-of-3d-shapes,4,75600,570,0
uncommon-words-from-two-sentences,4,204000,1300,1
spiral-matrix-iii,4,65600,908,2
possible-bipartition,4,407700,4600,1
super-egg-drop,4,254500,3600,1
fair-candy-swap,4,194100,2100,2
construct-binary-tree-from-preorder-and-postorder-traversal,4,140300,2700,2
find-and-replace-pattern,4,239000,3900,1
sum-of-subsequence-widths,4,55400,707,1
surface-area-of-3d-shapes,4,59800,555,0
groups-of-special-equivalent-strings,4,68100,524,1
all-possible-full-binary-trees,3,217100,5000,4
maximum-frequency-stack,3,256100,4600,2
monotonic-array,4,686100,3000,1
increasing-order-search-tree,3,357200,4300,2
bitwise-ors-of-subarrays,4,90600,1400,0
orderly-queue,4,104600,1700,1
rle-iterator,4,120700,724,1
online-stock-span,3,458400,6200,4
numbers-at-most-n-given-digit-set,4,103900,1400,2
valid-permutations-for-di-sequence,4,27100,711,2
fruit-into-baskets,3,893200,4500,2
sort-array-by-parity,3,1000000,5300,1
super-palindromes,4,61800,354,1
sum-of-subarray-minimums,3,664900,7900,5
smallest-range-i,4,125100,689,1
snakes-and-ladders,4,407800,2800,2
smallest-range-ii,4,148400,1600,1
online-election,4,110100,978,1
sort-an-array,3,1000000,5900,3
cat-and-mouse,4,56600,893,1
x-of-a-kind-in-a-deck-of-cards,4,397300,1800,2
partition-array-into-disjoint-intervals,4,167900,1600,2
word-subsets,4,217200,2700,3
reverse-only-letters,4,326600,2200,1
maximum-sum-circular-subarray,3,568900,6500,2
complete-binary-tree-inserter,4,80900,1100,2
number-of-music-playlists,4,113700,2300,1
minimum-add-to-make-parentheses-valid,3,444600,4000,2
sort-array-by-parity-ii,4,353300,2600,2
3sum-with-multiplicity,4,224700,2600,1
minimize-malware-spread,4,120100,962,1
long-pressed-name,4,427800,2400,1
flip-string-to-monotone-increasing,4,306800,4400,1
three-equal-parts,4,74500,822,1
minimize-malware-spread-ii,4,49800,650,1
unique-email-addresses,4,710800,2700,1
binary-subarrays-with-sum,3,356700,3700,3
minimum-falling-path-sum,3,646000,6200,1
beautiful-array,4,66400,1000,1
number-of-recent-calls,4,324800,479,1
shortest-bridge,3,347800,5300,4
knight-dialer,4,284900,3000,2
stamping-the-sequence,4,93100,1500,0
reorder-data-in-log-files,4,639800,2100,1
range-sum-of-bst,3,1200000,6900,2
minimum-area-rectangle,4,254100,1900,1
distinct-subsequences-ii,4,89900,1700,1
valid-mountain-array,4,1200000,2900,1
di-string-match,4,194000,2400,1
find-the-shortest-superstring,4,65099,1400,0
delete-columns-to-make-sorted,4,250600,1700,1
minimum-increment-to-make-array-unique,4,166300,1800,2
validate-stack-sequences,3,433500,5900,2
most-stones-removed-with-same-row-or-column,3,345700,5300,2
bag-of-tokens,4,378300,3200,2
largest-time-for-given-digits,4,244400,697,1
reveal-cards-in-increasing-order,4,212900,3300,0
flip-equivalent-binary-trees,4,216400,2300,1
largest-component-size-by-common-factor,4,130100,1600,1
verifying-an-alien-dictionary,3,908200,4800,2
array-of-doubled-pairs,4,222500,1500,1
delete-columns-to-make-sorted-ii,4,56700,647,1
tallest-billboard,4,110900,2300,0
prison-cells-after-n-days,4,408400,1500,1
check-completeness-of-a-binary-tree,4,402200,4200,1
regions-cut-by-slashes,4,73100,3000,2
delete-columns-to-make-sorted-iii,4,24500,590,1
n-repeated-element-in-size-2n-array,4,303300,1300,1
maximum-width-ramp,4,92700,1600,1
minimum-area-rectangle-ii,4,48900,361,1
least-operators-to-express-number,4,20100,314,1
univalued-binary-tree,4,306500,1900,1
vowel-spellchecker,4,80000,418,2
numbers-with-same-consecutive-differences,3,225700,2800,7
binary-tree-cameras,3,292000,5200,2
pancake-sorting,4,131400,1500,2
powerful-integers,4,124500,384,0
flip-binary-tree-to-match-preorder-traversal,4,82600,932,0
equal-rational-numbers,4,16400,93,1
k-closest-points-to-origin,3,1800000,8300,3
subarray-sums-divisible-by-k,3,435600,6500,1
odd-even-jump,4,208300,1900,1
largest-perimeter-triangle,4,422000,2900,1
squares-of-a-sorted-array,2,2500000,9200,5
longest-turbulent-subarray,4,207600,1900,0
distribute-coins-in-binary-tree,3,156400,4900,2
unique-paths-iii,4,242300,5100,1
time-based-key-value-store,3,857700,4700,7
triples-with-bitwise-and-equal-to-zero,4,29800,427,1
minimum-cost-for-tickets,3,435800,7800,3
string-without-aaa-or-bbb,4,106400,799,1
sum-of-even-numbers-after-queries,4,203100,2100,1
interval-list-intersections,3,561900,5500,3
vertical-order-traversal-of-a-binary-tree,3,873800,7400,2
smallest-string-starting-from-leaf,4,147400,1700,2
add-to-array-form-of-integer,4,562200,3400,1
satisfiability-of-equality-equations,4,247200,3700,1
broken-calculator,4,183500,2700,2
subarrays-with-k-different-integers,3,324800,5900,2
cousins-in-binary-tree,3,485200,3900,2
rotting-oranges,3,1500000,12400,5
minimum-number-of-k-consecutive-bit-flips,4,66900,1200,1
number-of-squareful-arrays,4,77200,975,1
find-the-town-judge,3,1200000,6500,3
maximum-binary-tree-ii,4,51300,519,1
available-captures-for-rook,4,94700,652,1
minimum-cost-to-merge-stones,3,90200,2400,4
grid-illumination,4,55600,601,1
find-common-characters,4,304500,3500,1
check-if-word-is-valid-after-substitutions,4,102400,970,2
max-consecutive-ones-iii,3,798000,8300,5
maximize-sum-of-array-after-k-negations,4,172100,1500,1
clumsy-factorial,4,53000,363,1
minimum-domino-rotations-for-equal-row,4,386300,2800,1
construct-binary-search-tree-from-preorder-traversal,3,430000,6000,2
complement-of-base-10-integer,3,384500,2400,3
pairs-of-songs-with-total-durations-divisible-by-60,3,510500,4200,3
capacity-to-ship-packages-within-d-days,3,527800,9300,8
numbers-with-repeated-digits,4,39100,761,1
partition-array-into-three-parts-with-equal-sum,4,216700,1700,2
best-sightseeing-pair,4,154100,2500,2
smallest-integer-divisible-by-k,4,133500,1100,1
binary-string-with-substrings-representing-1-to-n,4,64900,346,2
convert-to-base--2,4,43200,507,1
binary-prefix-divisible-by-5,4,115800,719,0
next-greater-node-in-linked-list,4,251800,3200,1
number-of-enclaves,3,307200,3900,3
remove-outermost-parentheses,4,364700,2800,2
sum-of-root-to-leaf-binary-numbers,4,284700,3300,1
camelcase-matching,4,76300,881,2
video-stitching,4,132400,1700,1
divisor-game,4,363100,2100,3
maximum-difference-between-node-and-ancestor,3,409500,4900,2
longest-arithmetic-subsequence,4,350200,4600,1
recover-a-tree-from-preorder-traversal,4,66600,1600,1
two-city-scheduling,3,361200,4700,2
matrix-cells-in-distance-order,4,82100,748,1
maximum-sum-of-two-non-overlapping-subarrays,4,116900,2500,3
stream-of-characters,4,169900,1800,2
moving-stones-until-consecutive,4,51500,214,1
coloring-a-border,4,69500,704,3
uncrossed-lines,4,246300,3800,2
escape-a-large-maze,4,61200,659,1
valid-boomerang,4,137900,405,1
binary-search-tree-to-greater-sum-tree,4,203900,3700,1
minimum-score-triangulation-of-polygon,4,81700,1800,2
moving-stones-until-consecutive-ii,4,17700,362,1
robot-bounded-in-circle,4,416700,3700,1
flower-planting-with-no-adjacent,4,150900,1400,0
partition-array-for-maximum-sum,3,235300,4600,3
longest-duplicate-substring,4,221600,2200,1
customers-who-bought-all-products,4,238200,667,1
last-stone-weight,3,917100,5900,1
remove-all-adjacent-duplicates-in-string,3,797700,6500,4
longest-string-chain,3,655100,7200,3
last-stone-weight-ii,4,154500,3000,0
actors-and-directors-who-cooperated-at-least-three-times,4,242800,639,1
height-checker,4,438700,1100,1
grumpy-bookstore-owner,4,127800,1700,1
previous-permutation-with-one-swap,4,80100,435,1
distant-barcodes,4,91100,1200,1
shortest-way-to-form-string,4,146300,1300,1
confusing-number,4,91600,308,1
campus-bikes,4,121600,977,1
minimize-rounding-error-to-meet-target,4,20100,146,1
all-paths-from-source-lead-to-destination,4,156900,700,1
missing-element-in-sorted-array,4,232900,1600,2
lexicographically-smallest-equivalent-string,4,101800,2300,1
longest-repeating-substring,4,66400,657,1
number-of-valid-subarrays,4,15800,297,1
fixed-point,4,68200,435,1
index-pairs-of-a-string,4,40900,374,1
campus-bikes-ii,4,92300,931,1
digit-count-in-range,4,8800,94,1
product-sales-analysis-i,4,463100,755,2
product-sales-analysis-ii,4,64900,78,1
product-sales-analysis-iii,4,295100,362,1
greatest-common-divisor-of-strings,3,801800,4900,3
flip-columns-for-maximum-number-of-equal-rows,4,35300,731,0
adding-two-negabinary-numbers,4,47900,313,1
number-of-submatrices-that-sum-to-target,4,204000,3700,2
project-employees-i,4,321000,522,1
project-employees-ii,4,113200,201,1
project-employees-iii,4,72700,266,1
occurrences-after-bigram,4,112300,479,1
letter-tile-possibilities,4,129100,2500,1
insufficient-nodes-in-root-to-leaf-paths,4,66400,676,1
smallest-subsequence-of-distinct-characters,4,111000,2600,1
sales-analysis-i,4,77600,193,1
sales-analysis-ii,4,115600,268,1
sales-analysis-iii,4,278400,711,1
sum-of-digits-in-the-minimum-number,4,31200,117,1
high-five,4,135500,786,1
brace-expansion,4,77900,639,1
confusing-number-ii,4,78300,490,1
duplicate-zeros,4,794500,2600,1
largest-values-from-labels,4,60800,438,1
shortest-path-in-binary-matrix,3,958300,6400,2
shortest-common-supersequence,4,184200,4700,1
statistics-from-a-large-sample,4,45900,143,1
car-pooling,4,387100,4400,1
find-in-mountain-array,4,337100,3200,1
brace-expansion-ii,4,38500,478,1
game-play-analysis-v,4,44700,183,1
unpopular-books,4,91000,201,0
two-sum-less-than-k,4,214900,1100,4
find-k-length-substrings-with-no-repeated-characters,4,54800,566,1
the-earliest-moment-when-everyone-become-friends,4,132400,971,1
path-with-maximum-minimum-value,4,115400,1300,3
distribute-candies-to-people,4,132500,964,0
path-in-zigzag-labelled-binary-tree,4,59300,1500,1
filling-bookcase-shelves,4,88600,1800,2
parsing-a-boolean-expression,4,49400,1100,1
new-users-daily-count,4,78700,147,1
defanging-an-ip-address,3,714100,2100,3
corporate-flight-bookings,4,101000,1600,1
delete-nodes-and-return-forest,4,313100,3800,1
maximum-nesting-depth-of-two-valid-parentheses-strings,4,37000,430,1
highest-grade-for-each-student,4,83600,292,1
reported-posts,4,70900,105,1
print-in-order,4,221500,1400,2
print-foobar-alternately,4,123600,673,1
print-zero-even-odd,4,79600,474,1
building-h2o,4,87400,503,1
number-of-days-in-a-month,4,14400,42,1
remove-vowels-from-a-string,4,119700,358,1
maximum-average-subtree,4,102800,833,2
divide-array-into-increasing-sequences,4,7800,121,1
relative-sort-array,4,266600,2500,1
lowest-common-ancestor-of-deepest-leaves,4,151200,1900,1
longest-well-performing-interval,4,90300,1400,1
smallest-sufficient-team,4,109700,2100,1
active-businesses,4,67300,268,1
user-purchase-platform,4,32100,179,1
number-of-equivalent-domino-pairs,4,139200,670,1
shortest-path-with-alternating-colors,4,239500,3400,1
minimum-cost-tree-from-leaf-values,3,143600,4200,3
maximum-of-absolute-value-expression,4,48300,633,1
reported-posts-ii,4,113700,151,1
largest-unique-number,4,85700,315,1
armstrong-number,4,46200,206,1
connecting-cities-with-minimum-cost,4,117700,1100,1
parallel-courses,4,134100,1100,1
n-th-tribonacci-number,3,989000,4000,4
alphabet-board-path,4,98100,890,1
largest-1-bordered-square,4,49200,698,1
stone-game-ii,4,137000,2800,1
user-activity-for-the-past-30-days-i,4,406500,603,3
user-activity-for-the-past-30-days-ii,4,116700,99,2
longest-common-subsequence,2,1800000,13300,5
decrease-elements-to-make-array-zigzag,4,41800,420,1
binary-tree-coloring-game,4,86800,1300,1
snapshot-array,3,576200,3700,4
longest-chunked-palindrome-decomposition,4,39900,647,1
article-views-i,3,676800,1300,5
article-views-ii,4,77600,128,1
check-if-a-number-is-majority-element-in-a-sorted-array,4,82600,451,1
minimum-swaps-to-group-all-1's-together,4,105600,1200,3
analyze-user-website-visit-pattern,4,221400,482,1
string-transforms-into-another-string,4,148100,874,1
day-of-the-year,4,118100,437,1
number-of-dice-rolls-with-target-sum,3,466000,5000,2
swap-for-longest-repeated-character-substring,4,69600,997,2
online-majority-element-in-subarray,4,39500,621,1
market-analysis-i,4,174000,628,1
market-analysis-ii,4,32299,119,1
find-words-that-can-be-formed-by-characters,4,359000,2100,1
maximum-level-sum-of-a-binary-tree,4,395900,3500,2
as-far-from-land-as-possible,3,294600,4100,4
last-substring-in-lexicographical-order,4,98900,584,1
product-price-at-a-given-date,4,191200,812,2
single-row-keyboard,4,96600,522,1
design-file-system,4,90400,566,2
minimum-cost-to-connect-sticks,4,172700,1300,1
optimize-water-distribution-in-a-village,4,71500,1100,1
invalid-transactions,4,240300,538,1
compare-strings-by-frequency-of-the-smallest-character,4,127800,691,1
remove-zero-sum-consecutive-nodes-from-linked-list,4,303600,3200,2
dinner-plate-stacks,4,54700,473,0
immediate-food-delivery-i,4,90100,286,1
immediate-food-delivery-ii,4,242500,623,1
prime-arrangements,4,53300,392,2
diet-plan-performance,4,59900,153,1
can-make-palindrome-from-substring,4,69400,788,1
number-of-valid-words-for-each-puzzle,4,65900,1300,1
reformat-department-table,4,147100,718,1
count-substrings-with-only-one-distinct-letter,4,33700,352,1
before-and-after-puzzle,4,21000,73,1
shortest-distance-to-target-color,4,64099,510,1
maximum-number-of-ones,4,7100,162,1
distance-between-bus-stops,4,109200,746,1
day-of-the-week,4,112300,390,2
maximum-subarray-sum-with-one-deletion,4,116800,1800,1
make-array-strictly-increasing,4,97600,2200,0
design-bounded-blocking-queue,4,67100,512,1
maximum-number-of-balloons,4,328100,1700,2
reverse-substrings-between-each-pair-of-parentheses,4,108100,1900,1
k-concatenation-maximum-sum,4,144800,1400,1
critical-connections-in-a-network,3,404400,6100,1
monthly-transactions-i,4,249900,706,1
tournament-winners,4,40900,149,1
fizz-buzz-multithreaded,4,64300,585,1
how-many-apples-can-you-put-into-the-basket,4,50200,217,1
minimum-knight-moves,4,378500,1500,3
find-smallest-common-element-in-all-rows,4,57500,567,1
minimum-time-to-build-blocks,4,14300,231,1
minimum-absolute-difference,4,269600,2300,1
ugly-number-iii,4,105200,1200,1
smallest-string-with-swaps,3,193900,3600,4
sort-items-by-groups-respecting-dependencies,4,80200,1700,1
last-person-to-fit-in-the-bus,4,154200,636,1
monthly-transactions-ii,4,53900,152,1
design-skiplist,4,35600,653,1
unique-number-of-occurrences,3,765800,5000,4
get-equal-substrings-within-budget,4,106200,1200,1
remove-all-adjacent-duplicates-in-string-ii,3,540800,5700,7
minimum-moves-to-reach-target-with-rotations,4,18900,268,1
queries-quality-and-percentage,4,293300,539,1
team-scores-in-football-tournament,4,67600,302,1
intersection-of-three-sorted-arrays,4,107200,580,1
two-sum-bsts,4,71200,542,1
stepping-numbers,4,19800,182,1
valid-palindrome-iii,4,127500,754,1
minimum-cost-to-move-chips-to-the-same-position,4,177200,2300,2
longest-arithmetic-subsequence-of-given-difference,4,254700,3200,2
path-with-maximum-gold,4,178500,2700,3
count-vowels-permutation,4,266700,3200,1
split-a-string-in-balanced-strings,4,344900,2700,0
queens-that-can-attack-the-king,4,58400,925,1
dice-roll-simulation,4,59100,920,1
maximum-equal-frequency,4,39900,536,1
report-contiguous-dates,4,37900,319,1
the-dining-philosophers,4,59400,335,1
airplane-seat-assignment-probability,4,61800,603,1
missing-number-in-arithmetic-progression,4,51800,314,1
meeting-scheduler,3,140400,877,9
toss-strange-coins,4,31600,382,1
divide-chocolate,4,91100,969,1
check-if-it-is-a-straight-line,4,641300,2600,2
remove-sub-folders-from-the-filesystem,4,79600,798,2
replace-the-substring-for-balanced-string,4,87700,1200,2
maximum-profit-in-job-scheduling,2,548000,6700,11
web-crawler,4,55000,282,3
find-positive-integer-solution-for-a-given-equation,4,95100,505,1
circular-permutation-in-binary-representation,4,24900,413,2
maximum-length-of-a-concatenated-string-with-unique-characters,3,523100,4400,2
tiling-a-rectangle-with-the-fewest-squares,4,42900,674,1
number-of-comments-per-post,4,52900,173,1
web-crawler-multithreaded,4,106800,519,2
array-transformation,4,25300,150,1
design-a-leaderboard,4,106900,766,2
tree-diameter,4,69300,842,1
palindrome-removal,4,22900,309,1
minimum-swaps-to-make-strings-equal,4,60500,1400,2
count-number-of-nice-subarrays,4,192100,3800,2
minimum-remove-to-make-valid-parentheses,3,1000000,6800,3
check-if-it-is-a-good-array,4,37600,493,1
average-selling-price,4,462200,1000,3
cells-with-odd-values-in-a-matrix,4,141600,1200,0
reconstruct-a-2-row-binary-matrix,4,56500,443,1
number-of-closed-islands,4,331200,4500,1
maximum-score-words-formed-by-letters,4,51400,1200,2
encode-number,4,11000,76,1
smallest-common-region,4,34000,428,1
synonymous-sentences,4,39000,346,1
handshakes-that-don't-cross,4,18300,230,1
shift-2d-grid,4,155900,1700,2
find-elements-in-a-contaminated-binary-tree,4,82000,971,1
greatest-sum-divisible-by-three,4,105800,1800,1
minimum-moves-to-move-a-box-to-their-target-location,4,56500,838,1
page-recommendations,4,62400,247,1
print-immutable-linked-list-in-reverse,4,60500,577,1
minimum-time-visiting-all-points,4,275800,2200,1
count-servers-that-communicate,4,96500,1300,2
search-suggestions-system,3,455100,4600,10
number-of-ways-to-stay-in-the-same-place-after-some-steps,4,179300,1500,1
all-people-report-to-the-given-manager,4,63000,416,2
hexspeak,4,18600,74,1
remove-interval,4,54300,458,1
delete-tree-nodes,4,16600,224,1
number-of-ships-in-a-rectangle,4,42100,525,1
find-winner-on-a-tic-tac-toe-game,4,228400,1500,1
number-of-burgers-with-no-waste-of-ingredients,4,49600,322,1
count-square-submatrices-with-all-ones,3,291300,4800,3
palindrome-partitioning-iii,4,45500,1100,0
traffic-light-controlled-intersection,4,18300,71,1
students-and-examinations,4,354000,1500,1
subtract-the-product-and-sum-of-digits-of-an-integer,3,552200,2500,5
group-the-people-given-the-group-size-they-belong-to,3,232300,3000,3
find-the-smallest-divisor-given-a-threshold,4,281400,2800,2
minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,4,45100,948,2
find-the-start-and-end-number-of-continuous-ranges,4,45400,553,1
iterator-for-combination,4,98400,1400,1
element-appearing-more-than-25%-in-sorted-array,3,339200,1700,4
remove-covered-intervals,4,210300,2200,1
minimum-falling-path-sum-ii,4,89700,1700,1
convert-binary-number-in-a-linked-list-to-integer,4,568300,4100,1
sequential-digits,3,323600,2800,3
maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,4,61900,1100,1
shortest-path-in-a-grid-with-obstacles-elimination,3,455700,4500,3
weather-type-in-each-country,4,58700,136,1
find-numbers-with-even-number-of-digits,4,854500,2300,1
divide-array-in-sets-of-k-consecutive-numbers,4,145000,1700,1
maximum-number-of-occurrences-of-a-substring,4,99500,1100,1
maximum-candies-you-can-get-from-boxes,4,27400,334,1
replace-elements-with-greatest-element-on-right-side,3,522799,2500,3
sum-of-mutated-array-closest-to-target,4,85200,1100,1
number-of-paths-with-max-score,4,33300,503,1
deepest-leaves-sum,4,372600,4700,1
find-the-team-size,4,76800,326,1
find-n-unique-integers-sum-up-to-zero,4,280400,2000,1
all-elements-in-two-binary-search-trees,4,266700,3000,2
jump-game-iii,3,348100,4100,2
verbal-arithmetic-puzzle,4,37000,490,4
running-total-for-different-genders,4,46400,212,0
decrypt-string-from-alphabet-to-integer-mapping,4,153400,1500,1
