name,cluster,submissions_count,likes_count,companies_count
find-minimum-in-rotated-sorted-array,2,3500000,12900,7
find-minimum-in-rotated-sorted-array-ii,3,1000000,4600,1
min-stack,2,3000000,13800,7
binary-tree-upside-down,4,161500,256,1
read-n-characters-given-read4,4,457300,569,4
read-n-characters-given-read4-ii---call-multiple-times,4,432600,864,1
longest-substring-with-at-most-two-distinct-characters,4,463400,2200,1
intersection-of-two-linked-lists,2,2700000,14700,4
one-edit-distance,4,596100,1400,1
find-peak-element,2,2900000,11600,10
missing-ranges,4,703700,1100,2
maximum-gap,4,450500,3200,1
compare-version-numbers,3,1000000,2100,3
fraction-to-recurring-decimal,4,900800,2100,0
two-sum-ii---input-array-is-sorted,2,3200000,11500,4
excel-sheet-column-title,3,1300000,5500,2
majority-element,2,4200000,18700,9
two-sum-iii---data-structure-design,4,403500,666,1
excel-sheet-column-number,3,1100000,4700,1
factorial-trailing-zeroes,3,1000000,3100,3
binary-search-tree-iterator,3,1100000,8400,2
dungeon-game,3,583800,5700,5
combine-two-tables,3,1300000,3400,4
second-highest-salary,3,2100000,3500,1
nth-highest-salary,4,1000000,1900,2
rank-scores,4,612500,2100,1
largest-number,3,1300000,7900,7
consecutive-numbers,4,758100,2000,1
employees-earning-more-than-their-managers,3,902300,2500,3
duplicate-emails,4,914000,2000,1
customers-who-never-order,4,1100000,2600,1
department-highest-salary,4,730600,2000,1
department-top-three-salaries,4,586000,2000,2
reverse-words-in-a-string-ii,4,294200,1100,1
repeated-dna-sequences,4,764300,3300,1
best-time-to-buy-and-sell-stock-iv,3,1000000,7300,1
rotate-array,2,5100000,17500,9
reverse-bits,3,1300000,5000,3
number-of-1-bits,3,2000000,6400,4
word-frequency,4,194700,536,1
valid-phone-numbers,4,314300,413,2
transpose-file,4,96200,143,0
tenth-line,4,314100,383,1
delete-duplicate-emails,4,828800,1600,2
rising-temperature,3,1300000,2700,4
house-robber,2,4200000,20700,14
binary-tree-right-side-view,2,2000000,11700,6
number-of-islands,1,4400000,22100,22
bitwise-and-of-numbers-range,3,825900,3900,2
happy-number,2,2500000,10100,8
remove-linked-list-elements,3,2300000,8200,2
count-primes,3,2500000,7800,4
isomorphic-strings,2,2900000,8800,7
reverse-linked-list,2,5300000,21100,7
course-schedule,2,3300000,15900,14
implement-trie-(prefix-tree),2,1600000,11300,6
minimum-size-subarray-sum,2,2100000,12400,6
course-schedule-ii,2,2000000,10500,13
design-add-and-search-words-data-structure,3,1400000,7500,2
word-search-ii,2,1800000,9300,9
house-robber-ii,3,1800000,9600,4
shortest-palindrome,3,533100,3500,4
kth-largest-element-in-an-array,2,3400000,16800,10
combination-sum-iii,3,718300,5800,1
contains-duplicate,2,6300000,11700,8
the-skyline-problem,3,671200,5800,1
contains-duplicate-ii,3,2000000,6000,3
contains-duplicate-iii,4,1100000,941,1
maximal-square,3,1400000,9900,5
count-complete-tree-nodes,3,1100000,8500,1
rectangle-area,4,478000,2000,1
basic-calculator,3,1100000,6200,6
implement-stack-using-queues,3,1000000,5900,2
invert-binary-tree,2,2600000,13800,2
basic-calculator-ii,3,1400000,6100,7
summary-ranges,3,1100000,3900,3
majority-element-ii,3,1300000,9500,5
kth-smallest-element-in-a-bst,3,1900000,11200,3
power-of-two,3,2700000,6700,3
implement-queue-using-stacks,3,1400000,7500,4
number-of-digit-one,4,264800,1500,1
palindrome-linked-list,2,3600000,16200,7
lowest-common-ancestor-of-a-binary-search-tree,3,2300000,10900,3
lowest-common-ancestor-of-a-binary-tree,2,2600000,16100,6
delete-node-in-a-linked-list,3,1600000,4400,2
product-of-array-except-self,2,3800000,22100,12
sliding-window-maximum,2,2200000,17900,9
search-a-2d-matrix-ii,3,1700000,11700,2
different-ways-to-add-parentheses,3,332600,5300,1
valid-anagram,2,5200000,11900,4
shortest-word-distance,3,325300,1300,4
shortest-word-distance-ii,4,249000,1000,3
